username,password,role,order_cod,oper_name,host,domain
admin1,Aspen100,manager,C11,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin2,Aspen100,viewer,C11,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin3,Aspen100,viewer,C11,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin4,Aspen100,viewer,C11,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin5,Aspen100,viewer,C11,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin6,Aspen100,manager,C12,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin7,Aspen100,viewer,C12,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin8,Aspen100,viewer,C12,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin9,Aspen100,viewer,C12,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin10,Aspen100,viewer,C12,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin11,Aspen100,manager,C13,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin12,Aspen100,viewer,C13,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin13,Aspen100,viewer,C13,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin14,Aspen100,viewer,C13,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin15,Aspen100,viewer,C13,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin16,Aspen100,manager,C14,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin17,Aspen100,viewer,C14,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin18,Aspen100,viewer,C14,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin19,Aspen100,viewer,C14,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin20,Aspen100,viewer,C14,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin21,Aspen100,manager,C15,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin22,Aspen100,viewer,C15,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin23,Aspen100,viewer,C15,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin24,Aspen100,viewer,C15,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin25,Aspen100,viewer,C15,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin26,Aspen100,manager,C16,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin27,Aspen100,viewer,C16,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin28,Aspen100,viewer,C16,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin29,Aspen100,viewer,C16,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin30,Aspen100,viewer,C16,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin31,Aspen100,manager,C17,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin32,Aspen100,viewer,C17,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin33,Aspen100,viewer,C17,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin34,Aspen100,viewer,C17,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
admin35,Aspen100,viewer,C17,COMMENTS_WAREHOUSE,APEM-C-D12,APEM-C-D12
admin36,Aspen100,manager,C18,CREATE_COMMENT,APEM-C-D12,APEM-C-D12
admin37,Aspen100,viewer,C18,COMMENTS_GENERAL,APEM-C-D12,APEM-C-D12
admin38,Aspen100,viewer,C18,COMMENTS_QC,APEM-C-D12,APEM-C-D12
admin39,Aspen100,viewer,C18,COMMENTS_PRODUCTION,APEM-C-D12,APEM-C-D12
